Time (s)	Liquid height relative to zero point (mm)
11.5667	-0.8418
11.5833	-0.8129
11.6000	-0.6390
11.6167	-0.4363
11.6333	-0.1466
11.6500	0.1141
11.6667	0.2300
11.6833	-0.0597
11.7000	-0.2335
11.7167	-0.4363
11.7333	-0.5521
11.7500	-0.6390
11.7667	-0.6390
11.7833	-0.4363
11.8000	-0.1756
11.8167	0.2300
11.8333	0.5487
11.8500	0.8384
11.8667	1.0701
11.8833	1.2439
11.9000	0.8963
11.9167	0.5197
11.9333	0.1431
11.9500	-0.1756
11.9667	-0.1756
11.9833	-0.0597
12.0000	0.2010
12.0167	0.4328
12.0333	0.7225
12.0500	0.9542
12.0667	0.9253
12.0833	0.6645
12.1000	0.3749
12.1167	0.0852
12.1333	-0.0886
12.1500	-0.2045
12.1667	-0.0307
12.1833	0.2300
12.2000	0.5487
12.2167	0.8673
12.2333	1.1570
12.2500	1.4177
12.2667	1.5046
12.2833	1.3019
12.3000	1.0411
12.3167	0.7804
12.3333	0.6066
12.3500	0.5487
12.3667	0.6935
12.3833	0.9253
12.4000	1.2439
12.4167	1.5336
12.4333	1.7943
12.4500	1.5336
12.4667	1.1860
12.4833	0.8963
12.5000	0.5776
12.5167	0.4328
12.5333	0.2300
12.5500	0.2590
12.5667	0.4618
12.5833	0.6935
12.6000	1.0122
12.6167	1.3019
12.6333	1.5915
12.6500	1.2439
12.6667	0.8384
12.6833	0.4328
12.7000	0.1431
12.7167	-0.0597
12.7333	-0.2045
12.7500	-0.1176
12.7667	0.1431
12.7833	0.4907
12.8000	0.8673
12.8167	1.2149
12.8333	1.1570
12.8500	0.7225
12.8667	0.4618
12.8833	0.1721
12.9000	0.1141
12.9167	-0.0307
12.9333	-0.0307
12.9500	0.1141
12.9667	0.3459
12.9833	0.6356
13.0000	0.9253
13.0167	1.1570
13.0333	1.0991
13.0500	0.7804
13.0667	0.4618
13.0833	0.1721
13.1000	0.0562
13.1167	-0.0307
13.1333	0.1141
13.1500	0.2590
13.1667	0.5197
13.1833	0.8094
13.2000	1.0122
13.2167	1.1570
13.2333	0.9253
13.2500	0.6066
13.2667	0.2010
13.2833	-0.0886
13.3000	-0.2335
13.3167	-0.2625
13.3333	-0.0886
13.3500	0.2010
13.3667	0.5776
13.3833	0.8963
13.4000	1.2149
13.4167	1.4177
13.4333	1.1570
13.4500	0.7514
13.4667	0.3169
13.4833	-0.0307
13.5000	-0.2045
13.5167	-0.1176
13.5333	0.1431
13.5500	0.4907
13.5667	0.8384
13.5833	1.1570
13.6000	1.4467
13.6167	1.4757
13.6333	1.1280
13.6500	0.8094
13.6667	0.4618
13.6833	0.2879
13.7000	0.2879
13.7167	0.4328
13.7333	0.6935
13.7500	1.0122
13.7667	1.3308
13.7833	1.7364
13.8000	1.7943
13.8167	1.5336
13.8333	0.9832
13.8500	0.4907
13.8667	0.1431
13.8833	-0.0017
13.9000	0.0562
13.9167	0.2300
13.9333	0.4907
13.9500	0.8094
13.9667	1.1280
13.9833	1.4467
14.0000	1.7654
14.0167	1.3598
14.0333	0.9542
14.0500	0.5776
14.0667	0.3459
14.0833	0.2879
14.1000	0.4328
14.1167	0.6066
14.1333	0.8673
14.1500	1.1280
14.1667	1.3888
14.1833	1.7654
14.2000	1.7943
14.2167	1.2439
14.2333	0.7804
14.2500	0.3169
14.2667	0.0272
14.2833	-0.0017
14.3000	0.1431
14.3167	0.3749
14.3333	0.6356
14.3500	0.9253
14.3667	1.0411
14.3833	0.7804
14.4000	0.5487
14.4167	0.3459
14.4333	0.2010
14.4500	0.1141
14.4667	0.0272
14.4833	0.1721
14.5000	0.4038
14.5167	0.7225
14.5333	1.0701
14.5500	1.3598
14.5667	1.5626
14.5833	1.5626
14.6000	1.2729
14.6167	0.9253
14.6333	0.6066
14.6500	0.4038
14.6667	0.3169
14.6833	0.4907
14.7000	0.6935
14.7167	1.0411
14.7333	1.3308
14.7500	1.5626
14.7667	1.4757
14.7833	0.9253
14.8000	0.6356
14.8167	0.2590
14.8333	0.0852
14.8500	-0.1466
14.8667	-0.2335
14.8833	-0.0017
14.9000	0.2010
14.9167	0.6066
14.9333	0.8673
14.9500	0.9542
14.9667	0.5197
14.9833	0.3169
15.0000	0.0852
15.0167	-0.0597
15.0333	-0.1756
15.0500	-0.2914
15.0667	-0.1176
15.0833	0.0562
15.1000	0.4038
15.1167	0.7514
15.1333	1.0991
15.1500	1.3598
15.1667	1.4177
15.1833	0.8673
15.2000	0.4328
15.2167	-0.0307
15.2333	-0.2914
15.2500	-0.2914
15.2667	-0.1176
15.2833	0.0562
15.3000	0.4038
15.3167	0.6935
15.3333	1.0122
15.3500	1.2149
15.3667	0.8963
15.3833	0.3169
15.4000	-0.2045
15.4167	-0.6101
15.4333	-0.7549
15.4500	-0.7260
15.4667	-0.5811
15.4833	-0.3204
15.5000	-0.0017
15.5167	0.2590
15.5333	0.2010
15.5500	-0.3204
15.5667	-0.6390
15.5833	-0.9577
15.6000	-1.0736
15.6167	-1.1895
15.6333	-1.2474
15.6500	-1.1315
